domain_title,t,td,tavg,tx,tn,rh,rhavg,dd_val,ddavg_val,ddmax_val,ff_val,ffavg_val,ffmax_val,msl,mslavg,p,pavg,rr_val,snow,tp_1h_acc,tp_12h_acc,tp_24h_acc,tw,gSunRad,gSunRadavg,diffSunRad,diffSunRadavg,vis_val,t_5_cm,tavg_5_cm,tg_5_cm,tgavg_5_cm,tg_10_cm,tgavg_10_cm,tg_20_cm,tgavg_20_cm,tg_30_cm,tgavg_30_cm,tg_50_cm,tgavg_50_cm,hhs1_val,ns1_val,hhs2_val,ns2_val,hhs3_val,ns3_val,hhs4_val,ns4_val,rrHh,valid_UTC
SLOVENJ GRADEC,19,12,18.8,,,64,65,274,274,286,1.52,1.52,2.28,,,,,0,0,,0,,,579,579,121,123,48,23.6,23.2,18.3,18.3,16.5,16.4,15.5,15.5,15.9,15.9,16.6,16.6,,0,,0,,0,,0,11.10.2023 10:10 UTC
TATRE,20.4,13.8,20.5,,,66,66,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
TOLMIN-VOLCE,20.6,14.7,20.4,,,69,69,111,111,99,1,1,1.66,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
TOPOL,15.9,13.6,16,,,86,86,,,,,,,,,,,0,0,,0,,,607,603,109,108,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
TRBOVLJE,19.5,14.3,18.8,,,72,75,93,93,,0.72,0.72,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
TREBNJE,19.5,15.2,19.5,,,76,75,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
TROJANE-LIMOVCE,18,13.9,18,,,77,79,192,192,185,5.66,5.66,6.76,1022.4,1022.4,945.8,945.8,0,0,,0,,,554,542,108,107,44,,,,,,,,,,,,,,0,,0,,0,,0,11.10.2023 10:10 UTC
URSLJA GORA,15,5.8,15.2,,,54,53,201,201,205,4.46,4.46,7.16,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
VEDRIJAN,24,14.4,23.9,,,55,54,,,,,,,,,,,0,,,0,,,566,563,116,116,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
VELENJE,22.4,13.2,22,,,56,57,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
VELIKE LASCE,19.5,14.5,19.3,,,73,74,335,335,334,1,1,2.49,,,,,0,0,,0,,,612,600,111,107,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
VOGEL,17.5,4.8,17.5,,,43,44,162,162,233,1.31,1.31,3.45,,,,,0,0,,0,,,632,625,101,98,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
VRHNIKA,17.5,14.8,17,,,84,85,55,55,104,1.24,1.24,2.41,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
VRSIC,16.8,3.8,16.9,,,42,41,,,,,,,,,,,0,0,,0,,,711,703,201,190,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
ZADLOG,21,14.4,21.1,,,66,65,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
ZELENICA,17.7,2.9,17.7,,,37,37,,,,,,,,,,,0,0,,0,,,617,615,82,81,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
ZGORNJA KAPLA,16.6,11.5,16.4,,,72,72,230,230,223,5.61,5.61,8.11,,,,,0,0,,0,,,545,514,106,115,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
ZGORNJA RADOVNA,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
ZGORNJA SORICA,20.9,11,20.8,,,53,53,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
